"Day","Subject","Treat","Rep","Glucose","Galactose","Fructose","Xylose","Arabinose","Fucose","Rhamnose","GlcA","GalA","GlcNAc","GalNAc","Mannose","Allose","Ribose"
"d2","Sub2","Sunfiber","A",0.00365370964114401,0.11563580297001,0.00136182281226638,0,0.000514012940223825,0,0.000366344674232185,0,6.0127017979943e-05,0,0,0.0074739411639599,0,0.0089617397020109
"d2","Sub2","Sunfiber","B",0.00318694425630396,0.103058074460609,0.00107469314073317,0,0.000149462247874216,0.000261855267826527,0.000317790793339423,0,4.65495688023136e-05,0,0,0.00639667210302305,0,0.00900052915651315
"d2","Sub2","Sunfiber","C",0.00661013464782235,0.124140258137275,0.00177767939438495,0,0.000425724593928201,0,0.000459458164810318,0,0,0,0,0.0075874755338155,0,0.0126661087716459
"d3","Sub2","Sunfiber","A",0.00419061414799366,0.013963779803586,0.00155457443017697,0,0,0.000367970121752105,0.000687739959545865,0.000111803218034103,7.53664251563255e-05,0,2.25065122322345e-05,0.00633941425945835,0,0.0130915574804944
"d3","Sub2","Sunfiber","B",0.00471414160324672,0.00544392939696955,0.00125477391831774,0,0,0,0.000465601081028656,9.50045995723485e-05,0,0,0,0.00450844487814982,0,0.00935718783499035
"d3","Sub2","Sunfiber","C",0.00407624497573211,0.00539516393525385,0.00144726395391823,0.00115456437817964,0,0,0.000551543909405745,0,0,0,1.29253346009545e-05,0.00411155128911011,0,0.0111255129583679
"d0","Sub3","Sunfiber","A",0.0163527543395234,0.110410476091422,0.0115777924668839,0.00482714467985864,0.0045161260315902,0.00124985347692392,0.000163824186902563,0,0.00264706390284577,0,0.000154113476275139,0.006997423451717,0,0.0277777726922857
"d0","Sub3","Sunfiber","B",0.0149025534084104,0.093318806864065,0.0103997051550119,0.00562133731692135,0.00401721027479209,0.00118424957215618,0.00014279182768319,0,0,0,0.000102189851487319,0.0063091113141414,0,0.0262960598115053
"d0","Sub3","Sunfiber","C",0.0146178092868279,0.088960716760643,0.0117035077457635,0.00453114960151097,0.00364168263453686,0.00114216276457259,0.000172815401094711,0,0,0,9.3171325040714e-05,0.0058801015759014,0,0.0255233035362244
"d1","Sub3","Sunfiber","A",0.0012337362446123,0.0340484108984574,0.00279852997029276,0,5.15627813263015e-05,0,0,7.57234105331555e-05,3.335504157642e-05,0,2.32919425332963e-05,0.00434720744415224,0,0.00134750700698356
