"Subject","Rep","Day","pH","Treat","subj_rep"
"Media & fiber","B","d0",6.65,"Flax","Media & fiberB"
"Media & fiber","B","d1",6.3,"Flax","Media & fiberB"
"Media & fiber","B","d2",6.79,"Flax","Media & fiberB"
"Media & fiber","B","d3",6.77,"Flax","Media & fiberB"
"Media & fiber","C","d0",6.7,"Flax","Media & fiberC"
"Media & fiber","C","d1",6.29,"Flax","Media & fiberC"
"Media & fiber","C","d2",6.78,"Flax","Media & fiberC"
"Media & fiber","C","d3",6.76,"Flax","Media & fiberC"
"Sub1","A","d0",6.73,"Flax","Sub1A"
"Sub1","A","d1",5.88,"Flax","Sub1A"
"Sub1","A","d2",6.06,"Flax","Sub1A"
"Sub1","A","d3",5.89,"Flax","Sub1A"
"Sub1","B","d0",6.69,"Flax","Sub1B"
"Sub1","B","d1",5.68,"Flax","Sub1B"
"Sub1","B","d2",5.95,"Flax","Sub1B"
"Sub1","B","d3",5.84,"Flax","Sub1B"
"Sub1","C","d0",6.7,"Flax","Sub1C"
"Sub1","C","d1",5.84,"Flax","Sub1C"
"Sub1","C","d2",6.15,"Flax","Sub1C"
"Sub1","C","d3",6.05,"Flax","Sub1C"
"Sub2","A","d0",6.71,"Flax","Sub2A"
"Sub2","A","d1",5.86,"Flax","Sub2A"
"Sub2","A","d2",6.05,"Flax","Sub2A"
"Sub2","A","d3",5.92,"Flax","Sub2A"
"Sub2","B","d0",6.73,"Flax","Sub2B"
"Sub2","B","d1",5.89,"Flax","Sub2B"
"Sub2","B","d2",5.97,"Flax","Sub2B"
"Sub2","B","d3",5.72,"Flax","Sub2B"
"Sub2","C","d0",6.77,"Flax","Sub2C"
"Sub2","C","d1",5.9,"Flax","Sub2C"
"Sub2","C","d2",6.05,"Flax","Sub2C"
"Sub2","C","d3",5.85,"Flax","Sub2C"
"Sub3","A","d0",6.72,"Flax","Sub3A"
"Sub3","A","d1",5.62,"Flax","Sub3A"
"Sub3","A","d2",5.83,"Flax","Sub3A"
"Sub3","A","d3",5.74,"Flax","Sub3A"
"Sub3","B","d0",6.74,"Flax","Sub3B"
"Sub3","B","d1",5.6,"Flax","Sub3B"
"Sub3","B","d2",5.88,"Flax","Sub3B"
"Sub3","B","d3",5.93,"Flax","Sub3B"
"Sub3","C","d0",6.71,"Flax","Sub3C"
"Sub3","C","d1",5.55,"Flax","Sub3C"
"Sub3","C","d2",5.83,"Flax","Sub3C"
"Sub3","C","d3",5.95,"Flax","Sub3C"
"Sub4","A","d0",6.74,"Flax","Sub4A"
"Sub4","A","d1",5.59,"Flax","Sub4A"
"Sub4","A","d2",6.15,"Flax","Sub4A"
"Sub4","A","d3",5.95,"Flax","Sub4A"
"Sub4","B","d0",6.75,"Flax","Sub4B"
"Sub4","B","d1",5.58,"Flax","Sub4B"
"Sub4","B","d2",6.12,"Flax","Sub4B"
"Sub4","B","d3",5.95,"Flax","Sub4B"
"Sub4","C","d0",6.76,"Flax","Sub4C"
"Sub4","C","d1",5.59,"Flax","Sub4C"
"Sub4","C","d2",6.06,"Flax","Sub4C"
"Sub4","C","d3",6,"Flax","Sub4C"
"Sub5","A","d0",6.81,"Flax","Sub5A"
"Sub5","A","d1",5.83,"Flax","Sub5A"
"Sub5","A","d2",6.03,"Flax","Sub5A"
"Sub5","A","d3",5.94,"Flax","Sub5A"
"Sub5","B","d0",6.78,"Flax","Sub5B"
"Sub5","B","d1",5.86,"Flax","Sub5B"
"Sub5","B","d2",6.13,"Flax","Sub5B"
"Sub5","B","d3",6.1,"Flax","Sub5B"
"Sub5","C","d0",6.76,"Flax","Sub5C"
"Sub5","C","d1",5.82,"Flax","Sub5C"
"Sub5","C","d2",5.97,"Flax","Sub5C"
"Sub5","C","d3",5.97,"Flax","Sub5C"
"Media only","A","d0",7.13,"Kale","Media onlyA"
"Media only","A","d1",6.82,"Kale","Media onlyA"
"Media only","A","d2",7.26,"Kale","Media onlyA"
"Media only","A","d3",7.23,"Kale","Media onlyA"
"Media only","B","d0",7.14,"Kale","Media onlyB"
"Media only","B","d1",6.79,"Kale","Media onlyB"
"Media only","B","d2",7.24,"Kale","Media onlyB"
"Media only","B","d3",7.2,"Kale","Media onlyB"
"Media only","C","d0",7.12,"Kale","Media onlyC"
"Media only","C","d1",6.77,"Kale","Media onlyC"
"Media only","C","d2",7.25,"Kale","Media onlyC"
"Media only","C","d3",7.19,"Kale","Media onlyC"
"Media & fiber","A","d0",6.95,"Kale","Media & fiberA"
"Media & fiber","A","d1",6.63,"Kale","Media & fiberA"
"Media & fiber","A","d2",7.04,"Kale","Media & fiberA"
"Media & fiber","A","d3",6.96,"Kale","Media & fiberA"
"Media & fiber","B","d0",6.98,"Kale","Media & fiberB"
"Media & fiber","B","d1",6.59,"Kale","Media & fiberB"
